,Date,Deck,Format,L,Name,Online Price,Paper Price,Pilot,Place,W,card,card_type,deck_id,number,type,url_formated,url_name
1,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Cursecatcher,,649253,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
2,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Harbinger of the Tides,,649253,2,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
3,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Lord of Atlantis,,649253,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
4,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Master of the Pearl Trident,,649253,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
5,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Phantasmal Image,,649253,2,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
6,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Silvergill Adept,,649253,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
7,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,"Kira, Great Glass-Spinner",,649253,2,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
8,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Merrow Reejerey,,649253,3,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
9,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Master of Waves,,649253,3,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
11,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Vapor Snag,,649253,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
13,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Aether Vial,,649253,4,Artifacts,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
15,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Spreading Seas,,649253,4,Enchantments,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
17,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Cavern of Souls,,649253,3,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
18,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Island,,649253,11,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
19,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,"Minamo, School at Water's Edge",,649253,1,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
20,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Mutavault,,649253,4,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
21,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,"Oboro, Palace in the Clouds",,649253,1,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
23,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Dispel,,649253,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
24,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Relic of Progenitus,,649253,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
25,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Sea's Claim,,649253,3,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
26,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Echoing Truth,,649253,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
27,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Hurkyl's Recall,,649253,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
28,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Negate,,649253,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
29,2017-05-14,Merfolk,modern,,SCG Modern IQ Louisville,222 tix,$ 654,Jonathon Baldeo,1st,,Unified Will,,649253,3,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
1,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Elvish Mystic,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
2,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Heritage Druid,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
3,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Llanowar Elves,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
4,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Nettle Sentinel,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
5,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Dwynen's Elite,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
6,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Elvish Visionary,,649254,3,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
7,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Selfless Spirit,,649254,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
8,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Spellskite,,649254,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
9,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Elvish Archdruid,,649254,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
10,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Eternal Witness,,649254,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
11,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,"Ezuri, Renegade Leader",,649254,2,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
12,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Reclamation Sage,,649254,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
13,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Craterhoof Behemoth,,649254,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
15,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Chord of Calling,,649254,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
16,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Collected Company,,649254,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
18,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Cavern of Souls,,649254,4,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
19,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Forest,,649254,6,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
20,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Horizon Canopy,,649254,2,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
21,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,"Nykthos, Shrine to Nyx",,649254,2,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
22,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Pendelhaven,,649254,1,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
23,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Razorverge Thicket,,649254,3,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
25,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Burrenton Forge-Tender,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
26,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Path to Exile,,649254,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
27,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,"Kataki, War's Wage",,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
28,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Phyrexian Revoker,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
29,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Scavenging Ooze,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
30,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Aven Mindcensor,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
31,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Eidolon of Rhetoric,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
32,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Elvish Champion,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
33,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Kitchen Finks,,649254,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
34,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Loaming Shaman,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
35,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Chameleon Colossus,,649254,1,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
36,2017-05-14,Gw Elves,modern,,SCG Modern IQ Louisville,357 tix,$ 781,Daniel Wallace,2nd,,Fracturing Gust,,649254,2,Sideboard,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
1,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Wall of Omens,,649255,4,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
2,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Restoration Angel,,649255,2,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
3,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,"Kiki-Jiki, Mirror Breaker",,649255,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
4,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,"Emrakul, the Aeons Torn",,649255,1,Creatures,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
6,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Ajani Vengeant,,649255,1,Planeswalkers,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
7,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,"Chandra, Torch of Defiance",,649255,2,Planeswalkers,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
8,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,"Nahiri, the Harbinger",,649255,4,Planeswalkers,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
10,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Lightning Bolt,,649255,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
11,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Path to Exile,,649255,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
12,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Blessed Alliance,,649255,1,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
13,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Lightning Helix,,649255,4,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
14,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Anger of the Gods,,649255,2,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
15,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Wrath of God,,649255,1,Spells,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
17,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Blood Moon,,649255,4,Enchantments,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
18,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Assemble the Legion,,649255,1,Enchantments,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
20,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Arid Mesa,,649255,4,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
21,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Flooded Strand,,649255,2,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
22,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Mountain,,649255,2,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
23,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Plains,,649255,8,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
24,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Sacred Foundry,,649255,4,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
25,2017-05-14,W/R Control,modern,,SCG Modern IQ Louisville,286 tix,$ 741,Steven Livingston,3rd,,Temple of Triumph,,649255,4,Lands,scg-modern-iq-louisville-2017-05-14,scg-modern-iq-louisville
