,number,card,card_type,type,W,L,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,2,Pack Rat,,Creatures,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
3,4,Liliana of the Veil,,Planeswalkers,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
5,1,Slaughter Pact,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
6,4,Inquisition of Kozilek,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
7,4,Raven's Crime,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
8,4,Thoughtseize,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
9,2,Victim of Night,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
10,4,Wrench Mind,,Spells,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
12,4,The Rack,,Artifacts,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
13,4,Ensnaring Bridge,,Artifacts,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
15,4,Shrieking Affliction,,Enchantments,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
16,1,Waste Not,,Enchantments,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
18,1,Dakmor Salvage,,Lands,4,0,8Rack,destricted,535 tix,"$ 1,121",247945,2014-10-02,Modern Daily #7515354,modern,modern-daily-7515354,modern-daily-7515354-2014-10-02
