,number,card,card_type,type,Place,Deck,Pilot,Online Price,Paper Price,deck_id,Date,Name,Format,url_name,url_formated
1,4,Elvish Mystic,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
2,4,Heritage Druid,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
3,4,Llanowar Elves,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
4,4,Nettle Sentinel,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
5,3,Dwynen's Elite,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
6,3,Elvish Visionary,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
7,1,Spellskite,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
8,4,Elvish Archdruid,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
9,2,"Ezuri, Renegade Leader",,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
10,1,Reclamation Sage,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
11,1,Shaman of the Pack,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
12,1,Craterhoof Behemoth,,Creatures,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
14,4,Chord of Calling,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
15,2,Lead the Stampede,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
16,4,Collected Company,,Spells,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
18,4,Cavern of Souls,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
19,8,Forest,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
20,3,Gilt-Leaf Palace,,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
21,3,"Nykthos, Shrine to Nyx",,Lands,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
23,1,"Melira, Sylvok Outcast",,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
24,2,Scavenging Ooze,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
25,1,Spellskite,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
26,2,Choke,,Sideboard,1st,Elves,Steven Graham,272 tix,$ 679,332006,2015-10-18,States Lutherville/Timonium,modern,states-lutherville/timonium,states-lutherville/timonium-2015-10-18
